City_ID,City,Country,Max Temp,Description,Lat,Lng,Hotel Name
520,Saint-Francois,FR,68.18,overcast clouds,46.4154,3.9054,Manoir Du Bonheur
521,Dickinson,US,82.94,scattered clouds,29.4608,-95.0513,Hampton Inn & Suites Houston/League City
523,Diffa,NE,79.81,overcast clouds,13.3154,12.6113,ProDAF/Diffa
525,Matay,EG,80.71,clear sky,28.419,30.7792,Nag Aespen
533,Ponta Delgada,PT,74.12,scattered clouds,37.7333,-25.6667,Vila Nova Hotel
535,Faya,SA,70.32,overcast clouds,18.3851,42.4509,املاك خالد الشعشوع
537,Alofi,NU,75.09,overcast clouds,-19.0595,-169.9187,Taloa Heights
538,Hambantota,LK,77.34,few clouds,6.1241,81.1185,Bungalow 63
539,San Cristobal,VE,73.58,broken clouds,7.7669,-72.225,Posada Villaven C.A.
542,Kudahuvadhoo,MV,82.15,overcast clouds,2.6708,72.8944,Niyama Private Islands Maldives
546,Prainha,BR,76.78,scattered clouds,-1.8,-53.48,Casa Rocha
548,Maragogi,BR,72.21,few clouds,-9.0122,-35.2225,Salinas do Maragogi All Inclusive Resort
553,Cortez,US,83.16,clear sky,37.3489,-108.5859,Sand Canyon National 9 Inn
554,San Quintin,MX,73.74,few clouds,30.4833,-115.95,Don Eddie's Sport Fishing Center
557,Nicoya,CR,72.95,light rain,10.1483,-85.452,Las Cabinas Del Sueño
558,Caarapo,BR,70.68,clear sky,-22.6342,-54.8222,Hotel Pousada Quinta do Sul
560,Moissac,FR,68.95,clear sky,44.1024,1.0945,Hôtel & Spa Le Moulin De Moissac
564,Muli,MV,82.17,broken clouds,2.9167,73.5667,Medhufushi Island Resort
565,Okha,RU,70.29,clear sky,53.5739,142.9478,Империя
569,Kodinar,IN,80.26,overcast clouds,20.7903,70.7031,residency of N.B vadhel
570,Lanzhou,CN,70.88,few clouds,36.0564,103.7922,Lanzhou Amdo Xiangbala Hotel
571,Meulaboh,ID,77.04,light rain,4.1363,96.1285,Kost Pria
573,Changde,CN,73.58,overcast clouds,29.0464,111.6783,Kangshida Hotel
575,Luang Prabang,LA,76.96,mist,19.8856,102.1347,Villa Oasis
577,Guiglo,CI,70.27,broken clouds,6.5456,-7.4966,Hotel GBAOLY 2
578,Roebourne,AU,80.62,scattered clouds,-20.7833,117.1333,Latitude20 Roebourne Village
579,Najran,SA,81.25,overcast clouds,17.4924,44.1277,محمد هادي ال فطيح
582,Pilar,BR,71.53,broken clouds,-9.5972,-35.9567,Pousada e churrascaria Manguaba
583,Jiwani,PK,79.14,overcast clouds,25.05,61.7417,Al Mumtaz Transport Jiwani
585,Zhanaozen,KZ,72.95,clear sky,43.3,52.8,K.korabay 28A
586,Andros Town,BS,82.36,overcast clouds,24.7,-77.7667,Hanks place
589,Mackay,AU,77.04,broken clouds,-21.15,149.2,International Lodge Motel
590,North Bend,US,72.91,scattered clouds,43.4065,-124.2243,Red Lion Hotel Coos Bay
592,The Valley,AI,84.06,overcast clouds,18.217,-63.0578,CeBlue Villas & Beach Resort
594,Santa Cruz,BO,71.06,clear sky,-17.8,-63.1667,Aviador Hotel Boutique
