City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Description
310,Port-Gentil,GA,-0.7193,8.7815,76.73,84,98,14.45,overcast clouds
311,Christchurch,NZ,-43.5333,172.6333,58.48,50,34,11.5,scattered clouds
312,Sinnamary,GF,5.3833,-52.95,76.3,86,100,10.04,overcast clouds
313,Mitsamiouli,KM,-11.3847,43.2844,76.28,73,3,7.94,clear sky
314,Peniche,PT,39.3558,-9.3811,66.09,88,0,15.86,clear sky
315,Anloga,GH,5.7947,0.8973,77.22,85,100,12.53,overcast clouds
316,Kirkenes,NO,69.7271,30.0458,45.55,76,90,10.36,overcast clouds
317,Jamestown,US,42.097,-79.2353,65.84,72,1,4.54,clear sky
318,Bubaque,GW,11.2833,-15.8333,78.35,83,100,9.8,moderate rain
319,Aras,ES,42.5617,-2.356,60.6,72,0,8.05,clear sky
320,Aklavik,CA,68.2191,-135.0107,58.03,59,100,6.31,overcast clouds
321,Buckeye,US,33.3703,-112.5838,101.14,40,26,0.0,scattered clouds
322,Samana,DO,19.2056,-69.3369,79.0,90,100,9.53,overcast clouds
323,Phangnga,TH,8.4509,98.5298,78.84,89,100,1.68,light rain
324,Osecina,RS,44.3731,19.6014,79.41,46,1,6.22,clear sky
325,Klyuchi,RU,52.2667,79.1667,61.54,66,67,3.71,broken clouds
326,Karratha,AU,-20.7377,116.8463,80.11,42,88,15.41,overcast clouds
327,Porto Novo,BJ,6.4965,2.6036,78.62,80,100,8.52,overcast clouds
328,Portland,US,45.5234,-122.6762,95.61,38,40,1.01,scattered clouds
329,Cururupu,BR,-1.8283,-44.8683,73.38,96,37,3.58,scattered clouds
330,Luderitz,NA,-26.6481,15.1594,54.81,72,22,9.51,few clouds
331,Hamilton,US,39.1834,-84.5333,73.72,75,90,1.01,overcast clouds
332,San Patricio,US,28.017,-97.5169,87.66,59,35,12.46,scattered clouds
333,Dmanisi,GE,41.5251,44.3472,61.54,69,100,2.75,overcast clouds
334,Bath,GB,51.3779,-2.3591,60.89,84,100,8.32,overcast clouds
335,Parainen,FI,60.3067,22.301,59.9,82,99,13.6,overcast clouds
336,Biak,ID,-0.9131,122.8766,80.37,71,65,7.94,broken clouds
337,Mamlyutka,KZ,54.9375,68.5394,65.05,71,46,2.35,scattered clouds
338,Athens,GR,37.9795,23.7162,78.13,46,0,1.01,clear sky
339,Denpasar,ID,-8.65,115.2167,82.06,83,75,12.66,broken clouds
340,Mayumba,GA,-3.432,10.6554,74.16,90,96,7.87,overcast clouds
341,Edd,ER,13.9297,41.6925,89.83,65,60,2.73,broken clouds
342,Antalaha,MG,-14.9003,50.2788,65.61,82,64,8.52,broken clouds
343,Amos,CA,48.5669,-78.1162,66.47,71,10,6.91,clear sky
344,Alghero,IT,40.5589,8.3181,69.89,78,45,2.3,scattered clouds
345,Koslan,RU,63.4564,48.8989,57.51,97,100,6.71,overcast clouds
346,Fare,PF,-16.7,-151.0167,78.3,77,4,9.24,clear sky
347,Tura,IN,25.5198,90.2201,76.08,96,100,4.52,overcast clouds
348,Half Moon Bay,US,37.4636,-122.4286,92.12,75,1,10.36,clear sky
